year	age_group	fill_month	claims_per_1k_member
2011	10-19	0	15.525846530439075
2011	10-19	1	17.134160801029086
2011	10-19	2	15.70986866931565
2011	10-19	3	11.832492785792837
2011	10-19	4	11.177465492171788
2011	10-19	5	8.105472468670067
2011	10-19	6	6.422307274806993
2011	10-19	7	8.024574636748307
2011	10-19	8	11.405286861260544
2011	10-19	9	11.975984293726789
2011	10-19	10	14.567002934711853
2011	10-19	11	14.19209459849262
2011	20-29	0	17.010854910088774
2011	20-29	1	16.750083275613196
2011	20-29	2	15.933717899233864
2011	20-29	3	12.335576928160904
2011	20-29	4	11.729224717259465
2011	20-29	5	9.704384791493727
2011	20-29	6	7.617577234826654
2011	20-29	7	8.822244899038232
2011	20-29	8	11.331405216490158
2011	20-29	9	12.551300421401038
2011	20-29	10	14.330384759769682
2011	20-29	11	16.165303414035773
2011	30-39	0	21.47441884928804
2011	30-39	1	21.76587837776565
2011	30-39	2	20.162760286780216
2011	30-39	3	15.462771350271963
2011	30-39	4	14.335564773116804
2011	30-39	5	11.605965579844858
2011	30-39	6	8.72709993234947
2011	30-39	7	10.147398356436685
2011	30-39	8	13.619883815199787
2011	30-39	9	16.010686244815123
2011	30-39	10	19.15344337577966
2011	30-39	11	21.80759318271266
2011	40-49	0	20.578425324394104
2011	40-49	1	20.55938395293431
2011	40-49	2	19.089619145368843
2011	40-49	3	14.349033492913389
2011	40-49	4	13.365467914501664
2011	40-49	5	10.96682778339395
2011	40-49	6	8.291157172777252
2011	40-49	7	9.19125568682012
2011	40-49	8	12.471811969749703
2011	40-49	9	14.796720474528158
2011	40-49	10	17.526508667188466
2011	40-49	11	20.56811721352865
2011	50-59	0	20.588301226966358
2011	50-59	1	19.65478627898487
2011	50-59	2	19.034044206656404
2011	50-59	3	14.695254605660654
2011	50-59	4	13.66833478867015
2011	50-59	5	11.335081160825037
2011	50-59	6	8.367875343463046
2011	50-59	7	9.299388758537205
2011	50-59	8	12.054698958775894
2011	50-59	9	14.760904885021276
2011	50-59	10	17.41293598724143
2011	50-59	11	21.106698249966374
2012	10-19	0	14.021701690720707
2012	10-19	1	15.959900682197725
2012	10-19	2	13.329709310962341
2012	10-19	3	11.62168471331861
2012	10-19	4	11.319193116316427
2012	10-19	5	7.787077258606645
2012	10-19	6	7.0621095401572695
2012	10-19	7	8.65390423112774
2012	10-19	8	11.625765819592248
2012	10-19	9	12.100480101342031
2012	10-19	10	13.654728614595015
2012	10-19	11	16.470855187657428
2012	20-29	0	14.159400470263016
2012	20-29	1	14.130328530479783
2012	20-29	2	12.988718331340896
2012	20-29	3	10.819249214228392
2012	20-29	4	10.459849797579302
2012	20-29	5	8.213505886677577
2012	20-29	6	7.514413536051254
2012	20-29	7	9.12546727289791
2012	20-29	8	10.560138234146963
2012	20-29	9	12.254115289167268
2012	20-29	10	13.036130957967243
